time,trial
0.028832,1
0.028696,2
0.027696,3
0.028136,4
0.030112,5
0.030312,6
0.029264,7
0.029680,8
0.029520,9
0.029560,10
0.029248,11
0.029720,12
0.029328,13
0.029288,14
0.030016,150.001992,1
0.001832,2
0.001824,3
0.001832,4
0.001824,5
0.001832,6
0.001824,7
0.001832,8
0.001832,9
0.001832,10
0.001832,11
0.001824,12
0.001832,13
0.001832,14
0.001824,150.002416,1
0.002104,2
0.002088,3
0.002088,4
0.002088,5
0.002088,6
0.002088,7
0.002088,8
0.002080,9
0.002096,10
0.002088,11
0.002080,12
0.002088,13
0.002088,14
0.002080,150.001512,1
0.001336,2
0.001344,3
0.001344,4
0.001352,5
0.001344,6
0.001352,7
0.001344,8
0.001344,9
0.001344,10
0.001344,11
0.001344,12
0.001344,13
0.001344,14
0.001352,150.001288,1
0.001136,2
0.001128,3
0.001136,4
0.001136,5
0.001136,6
0.001136,7
0.001136,8
0.001136,9
0.001136,10
0.001136,11
0.001128,12
0.001128,13
0.001128,14
0.001136,15